State,Participation,Composite,Average English Score,Average Math Score,Average Reading Score,Average Science Score
Alabama,1,19.1,18.9,18.3,19.6,19
Alaska,0.33,20.8,19.8,20.6,21.6,20.7
Arizona,0.66,19.2,18.2,19.4,19.5,19.2
Arkansas,1,19.4,19.1,18.9,19.7,19.4
California,0.27,22.7,22.5,22.5,23,22.1
Colorado,0.3,23.9,23.9,23.2,24.4,23.5
Connecticut,0.26,25.6,26,24.8,26.1,24.9
Delaware,0.17,23.8,23.7,23.1,24.5,23.4
District of columbia,0.32,23.6,23.7,22.7,24.4,23
Florida,0.66,19.9,19.2,19.3,21.1,19.5
Georgia,0.53,21.4,20.9,20.7,21.2,21.4
Hawaii,0.89,18.9,18.2,19,19.1,19
Idaho,0.36,22.3,21.9,21.6,23.2,22.1
Illinois,0.43,23.9,24.1,23.4,24.2,23.4
Indiana,0.32,22.5,21.9,22.3,23.1,22.2
Iowa,0.68,21.8,21,21.2,22.5,22
Kansas,0.71,21.6,21,21.1,22.3,21.5
Kentucky,1,20.2,19.9,19.7,20.8,20.1
Louisiana,1,19.2,19,18.5,19.6,19.1
Maine,0.07,24,23.8,23.6,24.7,23.4
Maryland,0.31,22.5,22.1,22,23.1,22.2
Massachusetts,0.25,25.5,25.5,25.2,25.9,24.7
Michigan,0.22,24.2,24.5,23.9,24.7,23.9
Minnesota,0.99,21.3,20.2,21.4,21.7,21.4
Mississippi,1,18.6,18.2,18.1,18.9,18.6
Missouri,1,20,19.5,19.7,20.5,20
Montana,1,20,18.7,19.9,20.7,20
Nebraska,1,20.1,19.4,19.8,20.4,20.1
Nevada,1,17.7,16.6,17.8,18,17.9
New Hampshire,0.16,25.1,25.1,24.7,25.6,24.4
New Jersey,0.31,23.7,23.8,23.6,24,23
New Mexico,0.67,19.4,18.3,19.1,20.1,19.7
New York,0.27,24.5,24.2,24.2,24.9,24.2
North Carolina,1,19.1,18,19.3,19.5,19.2
North Dakota,0.98,20.3,19.1,20.3,20.7,20.5
Ohio,1,20.3,19.3,20.3,20.8,20.4
Oklahoma,1,19.3,18.4,18.8,20.1,19.4
Oregon,0.42,21.3,20.6,20.9,21.9,21.1
Pennsylvania,0.2,23.5,23.3,23.2,24,23.1
Rhode Island,0.15,24.2,24.4,23.6,25,23.5
South Carolina,1,18.3,17.3,18.2,18.6,18.5
South Dakota,0.77,21.9,20.8,21.6,22.4,22.2
Tennessee,1,19.6,19.4,19.1,19.9,19.6
Texas,0.45,20.7,19.6,20.6,21.1,20.8
Utah,1,20.4,19.7,19.9,20.9,20.5
Vermont,0.24,24.1,23.9,23.4,24.9,23.8
Virginia,0.24,23.9,23.8,23.3,24.7,23.5
Washington,0.24,22.2,21.4,22.2,22.7,22
West Virginia,0.65,20.3,19.8,19.4,21.3,20.4
Wisconsin,1,20.5,19.8,20.3,20.6,20.8
Wyoming,1,20,19,19.7,20.6,20.3